round,date,day_of_week,team_1,team_2,goal_1,goal_2
1,29/03/2003,Sábado,Guarani,Vasco,4,2
1,29/03/2003,Sábado,Atlético PR,Grêmio,2,0
1,30/03/2003,Domingo,Flamengo,Coritiba,1,1
1,30/03/2003,Domingo,Goiás,Paysandu,2,2
1,30/03/2003,Domingo,Internacional,Ponte Preta,1,1
1,30/03/2003,Domingo,Criciúma,Fluminense,2,0
1,30/03/2003,Domingo,Juventude,São Paulo,2,2
1,30/03/2003,Domingo,Fortaleza,Bahia,0,0
1,30/03/2003,Domingo,Cruzeiro,São Caetano,2,2
1,30/03/2003,Domingo,Vitória,Figueirense,1,1
1,30/03/2003,Domingo,Santos,Paraná,2,2
1,30/03/2003,Domingo,Corinthians,Atlético MG,0,3
2,05/04/2003,Sábado,Fluminense,Fortaleza,1,1
2,05/04/2003,Sábado,Atlético MG,Santos,0,0
2,05/04/2003,Sábado,Coritiba,Internacional,0,1
2,05/04/2003,Sábado,Grêmio,Guarani,3,1
2,06/04/2003,Domingo,Bahia,Flamengo,1,2
2,06/04/2003,Domingo,Figueirense,Corinthians,3,3
2,06/04/2003,Domingo,Paysandu,Vitória,1,2
2,06/04/2003,Domingo,Ponte Preta,Juventude,1,0
2,06/04/2003,Domingo,Paraná,Atlético PR,3,0
2,06/04/2003,Domingo,São Caetano,Criciúma,3,2
2,06/04/2003,Domingo,São Paulo,Cruzeiro,2,4
2,06/04/2003,Domingo,Vasco,Goiás,6,4
3,12/04/2003,Sábado,Internacional,Bahia,2,0
3,12/04/2003,Sábado,Santos,Figueirense,2,0
3,12/04/2003,Sábado,Atlético PR,Atlético MG,1,2
3,12/04/2003,Sábado,Corinthians,Paysandu,6,1
3,13/04/2003,Domingo,Vitória,Vasco,2,1
3,13/04/2003,Domingo,Criciúma,São Paulo,1,1
3,13/04/2003,Domingo,Fortaleza,São Caetano,1,1
3,13/04/2003,Domingo,Juventude,Coritiba,2,1
3,13/04/2003,Domingo,Guarani,Paraná,2,0
3,13/04/2003,Domingo,Goiás,Grêmio,1,1
3,13/04/2003,Domingo,Cruzeiro,Ponte Preta,3,0
3,13/04/2003,Domingo,Flamengo,Fluminense,4,1
