round,date,day_of_week,team_1,team_2,goal_1,goal_2
1,13/05/2017,Sábado,Flamengo,Atlético,1,1
1,13/05/2017,Sábado,Corinthians,Chapecoense,1,1
1,14/05/2017,Domingo,Fluminense,Santos,3,2
1,14/05/2017,Domingo,Palmeiras,Vasco,4,0
1,14/05/2017,Domingo,Cruzeiro,São Paulo,1,0
1,14/05/2017,Domingo,Bahia,Atlético,6,2
1,14/05/2017,Domingo,Ponte Preta,Sport,4,0
1,14/05/2017,Domingo,Avaí,Vitória,0,0
1,14/05/2017,Domingo,Grêmio,Botafogo,2,0
1,15/05/2017,Segunda-feira,Coritiba,Atlético,4,1
2,20/05/2017,Sábado,Santos,Coritiba,1,0
2,20/05/2017,Sábado,Atlético,Flamengo,0,3
2,20/05/2017,Sábado,Chapecoense,Palmeiras,1,0
2,21/05/2017,Domingo,Vasco,Bahia,2,1
2,21/05/2017,Domingo,Atlético,Fluminense,1,2
2,21/05/2017,Domingo,Atlético,Grêmio,0,2
2,21/05/2017,Domingo,Vitória,Corinthians,0,1
2,21/05/2017,Domingo,Botafogo,Ponte Preta,2,0
2,21/05/2017,Domingo,Sport,Cruzeiro,1,1
2,22/05/2017,Segunda-feira,São Paulo,Avaí,2,0
3,27/05/2017,Sábado,Vasco,Fluminense,3,2
3,27/05/2017,Sábado,São Paulo,Palmeiras,2,0
3,27/05/2017,Sábado,Vitória,Coritiba,0,1
3,28/05/2017,Domingo,Atlético,Ponte Preta,2,2
3,28/05/2017,Domingo,Santos,Cruzeiro,0,1
3,28/05/2017,Domingo,Atlético,Flamengo,1,1
3,28/05/2017,Domingo,Atlético,Corinthians,0,1
3,28/05/2017,Domingo,Sport,Grêmio,4,3
3,28/05/2017,Domingo,Botafogo,Bahia,1,0
3,29/05/2017,Segunda-feira,Chapecoense,Avaí,2,0
4,03/06/2017,Sábado,Coritiba,Atlético,1,0
4,03/06/2017,Sábado,Fluminense,Vitória,2,1
4,03/06/2017,Sábado,Corinthians,Santos,2,0
4,04/06/2017,Domingo,Flamengo,Botafogo,0,0
4,04/06/2017,Domingo,Avaí,Sport,1,0
4,04/06/2017,Domingo,Palmeiras,Atlético,0,0
4,04/06/2017,Domingo,Grêmio,Vasco,2,0
4,04/06/2017,Domingo,Ponte Preta,São Paulo,1,0
4,04/06/2017,Domingo,Cruzeiro,Chapecoense,0,2
4,05/06/2017,Segunda-feira,Bahia,Atlético,3,0
5,06/06/2017,Terça-feira,Fluminense,Atlético,1,1
5,07/06/2017,Quarta-feira,Atlético,Avaí,1,0
5,07/06/2017,Quarta-feira,Coritiba,Palmeiras,1,0
5,07/06/2017,Quarta-feira,Santos,Botafogo,1,0
5,07/06/2017,Quarta-feira,Vasco,Corinthians,2,5
5,07/06/2017,Quarta-feira,Sport,Flamengo,2,0
5,08/06/2017,Quinta-feira,São Paulo,Vitória,2,0
5,08/06/2017,Quinta-feira,Atlético,Ponte Preta,3,0
5,08/06/2017,Quinta-feira,Chapecoense,Grêmio,3,6
5,08/06/2017,Quinta-feira,Bahia,Cruzeiro,1,0
6,10/06/2017,Sábado,Palmeiras,Fluminense,3,1
6,10/06/2017,Sábado,Vasco,Sport,2,1
6,11/06/2017,Domingo,Botafogo,Coritiba,2,2
6,11/06/2017,Domingo,Corinthians,São Paulo,3,2
6,11/06/2017,Domingo,Vitória,Atlético,2,0
6,11/06/2017,Domingo,Ponte Preta,Chapecoense,3,2
6,11/06/2017,Domingo,Avaí,Flamengo,1,1
6,11/06/2017,Domingo,Cruzeiro,Atlético,2,0
6,11/06/2017,Domingo,Atlético,Santos,0,2
6,12/06/2017,Segunda-feira,Grêmio,Bahia,1,0
7,14/06/2017,Quarta-feira,Sport,São Paulo,0,0
7,14/06/2017,Quarta-feira,Atlético,Atlético,0,1
7,14/06/2017,Quarta-feira,Vitória,Botafogo,2,2
7,14/06/2017,Quarta-feira,Atlético,Avaí,3,1
7,14/06/2017,Quarta-feira,Flamengo,Ponte Preta,2,0
7,14/06/2017,Quarta-feira,Santos,Palmeiras,1,0
7,14/06/2017,Quarta-feira,Corinthians,Cruzeiro,1,0
7,14/06/2017,Quarta-feira,Chapecoense,Vasco,2,1
7,15/06/2017,Quinta-feira,Coritiba,Bahia,0,0
7,15/06/2017,Quinta-feira,Fluminense,Grêmio,0,2
8,17/06/2017,Sábado,Atlético,Atlético,0,1
8,17/06/2017,Sábado,Vasco,Avaí,1,0
8,17/06/2017,Sábado,Santos,Ponte Preta,0,0
8,18/06/2017,Domingo,Coritiba,Corinthians,0,0
8,18/06/2017,Domingo,Fluminense,Flamengo,2,2
8,18/06/2017,Domingo,São Paulo,Atlético,1,2
8,18/06/2017,Domingo,Bahia,Palmeiras,2,4
8,18/06/2017,Domingo,Chapecoense,Botafogo,0,2
8,18/06/2017,Domingo,Sport,Vitória,1,3
8,19/06/2017,Segunda-feira,Cruzeiro,Grêmio,3,3
9,21/06/2017,Quarta-feira,Vitória,Santos,0,2
9,21/06/2017,Quarta-feira,Botafogo,Vasco,3,1
